condition,symptoms
rectal disorder,"diarrhea,heartburn,cramps and spasms"
anxiety,"shortness of breath,sharp chest pain,insomnia,abnormal involuntary movements,palpitations"
gout,"wrist pain,hand or finger swelling,wrist swelling,knee pain,foot or toe pain,ankle pain,foot or toe swelling,joint pain"
seborrheic dermatitis,"abnormal appearing skin,irregular appearing scalp,symptoms of the face,skin dryness, peeling, scaliness, or roughness,too little hair"
deviated nasal septum,"facial pain,difficulty breathing,apnea,abnormal breathing sounds,painful sinuses,nosebleed"
spinal stenosis,"leg pain,headache,problems with movement,loss of sensation,paresthesia,shoulder pain"
conjunctivitis due to allergy,"cough,symptoms of eye,pain in eye,eye redness,lacrimation,itchiness of eye"
eating disorder,"depression,insomnia,weight gain"
urinary tract obstruction,"sharp abdominal pain,painful urination,frequent urination,blood in urine,side pain,excessive urination at night"
rectal disorder,"diarrhea,burning abdominal pain,heartburn,cramps and spasms,melena,rectal bleeding,constipation"
meniere disease,"headache,nausea,facial pain"
alopecia,"feeling ill,acne or pimples,irregular appearing scalp,too little hair"
arthritis of the hip,"hip pain,low back pain,pelvic pain,knee pain,lower body pain,joint pain"
chalazion,"skin growth,diminished vision,symptoms of eye,eye redness,lacrimation,swollen eye,eyelid swelling"
polycystic kidney disease,"retention of urine,sharp abdominal pain,blood in urine,kidney mass"
infectious gastroenteritis,"sharp abdominal pain,vomiting,headache,nausea,diarrhea,burning abdominal pain,decreased appetite,chills,flu-like syndrome"
delirium,"depressive or psychotic symptoms,focal weakness,disturbance of memory,delusions or hallucinations"
dental caries,"skin swelling,toothache,facial pain,peripheral edema,jaw swelling,gum pain,skin irritation,pain in gums"
tendinitis,"hand or finger pain,hand or finger swelling,foot or toe pain,shoulder pain"
multiple sclerosis,"dizziness,weakness,loss of sensation,focal weakness,paresthesia,fatigue"
corneal disorder,"white discharge from eye,foreign body sensation in eye,spots or clouds in vision,lacrimation,itchiness of eye"
oppositional disorder,"depressive or psychotic symptoms,fainting,hostile behavior,temper problems,antisocial behavior"
gonorrhea,"sharp abdominal pain,vaginal discharge,problems with movement"
autonomic nervous system disorder,"dizziness,difficulty in swallowing,headache,decreased appetite"
threatened pregnancy,"lower abdominal pain,pelvic pain,problems during pregnancy,uterine contractions"
eustachian tube dysfunction (ear disorder),"dizziness,ringing in ear,abnormal breathing sounds,swollen or red tonsils"
drug reaction,"shortness of breath,dizziness,nausea,peripheral edema,skin rash"
impetigo,"skin swelling,abnormal appearing skin,skin lesion,itching of skin,skin rash,sore in nose"
temporary or benign blood in urine,"retention of urine,sharp abdominal pain,involuntary urination,frequent urination,blood in urine,regurgitation,regurgitation.1"
sialoadenitis,"sore throat,cough,swollen lymph nodes,peripheral edema,jaw swelling"
callus,"acne or pimples,foot or toe pain,foot or toe swelling,irregular appearing nails,skin rash"
nose disorder,"sore throat,cough,nasal congestion,headache,facial pain,ear pain,coryza,painful sinuses,nosebleed"
seasonal allergies (hay fever),"ear pain,lacrimation,itchiness of eye,coryza,allergic reaction,sneezing"
myositis,"hip pain,headache,knee pain,problems with movement,loss of sensation"
urethritis,"retention of urine,vaginal itching,frequent urination,blood in urine,penile discharge"
chronic sinusitis,"ear pain,frontal headache,fever,congestion in chest,sinus congestion,painful sinuses"
drug abuse (cocaine),"depression,depressive or psychotic symptoms,drug abuse,fears and phobias"
pulmonary fibrosis,"chest tightness,cough,fainting,difficulty breathing"
plantar fasciitis,"knee pain,foot or toe pain,bones are painful,ankle swelling"
cornea infection,"lip swelling,diminished vision,pain in eye,eye redness,swollen eye"
rheumatoid arthritis,"wrist swelling,knee pain,elbow swelling"
spondylolisthesis,"hip pain,neck pain,paresthesia,leg weakness"
gastrointestinal hemorrhage,"fainting,sharp abdominal pain,nausea,diarrhea,changes in stool appearance,rectal bleeding"
tricuspid valve disease,"anxiety and nervousness,emotional symptoms"
plantar fasciitis,"foot or toe pain,muscle pain"
ear wax impaction,"cough,nasal congestion,ear pain,fluid in ear,fever,pulling at ears"
nasal polyp,"hoarse voice,cough,facial pain,allergic reaction"
gastroduodenal ulcer,"blood in stool,vomiting,nausea,heartburn,upper abdominal pain"
acute sinusitis,"sore throat,nasal congestion,facial pain,painful sinuses"
myelodysplastic syndrome,"difficulty speaking,fatigue"
menopause,"vaginal itching,involuntary urination,hot flashes,absence of menstruation,sweating"
gout,"hand or finger pain,wrist pain,hand or finger swelling,wrist swelling,foot or toe pain,ankle pain,knee swelling,leg swelling,ankle swelling"
ulcerative colitis,"sharp abdominal pain,diarrhea,swollen lymph nodes"
eczema,"cough,skin swelling,skin lesion,acne or pimples,allergic reaction,skin dryness, peeling, scaliness, or roughness,skin irritation,warts"
alcohol intoxication,"anxiety and nervousness,abnormal involuntary movements,abusing alcohol,problems with movement"
idiopathic painful menstruation,"sharp abdominal pain,lower abdominal pain,vaginal discharge,pelvic pain,cramps and spasms,blood clots during menstrual periods,long menstrual periods,heavy menstrual flow,painful menstruation"
acute pancreatitis,"sharp chest pain,sharp abdominal pain,vomiting,diarrhea,back pain,side pain"
iron deficiency anemia,"intermenstrual bleeding,heartburn,weakness,fatigue,heavy menstrual flow"
hydronephrosis,"pain in testicles,sharp abdominal pain,vomiting,back pain"
complex regional pain syndrome,"leg pain,hand or finger pain,neck pain,foot or toe pain,loss of sensation,ache all over"
conjunctivitis due to bacteria,"sore throat,cough,nasal congestion,abnormal appearing skin"
fibromyalgia,"hip pain,headache,neck pain,ache all over"
problem during pregnancy,"sharp abdominal pain,headache,pelvic pain,problems during pregnancy,spotting or bleeding during pregnancy,cramps and spasms"
noninfectious gastroenteritis,"sharp abdominal pain,vomiting,nausea,burning abdominal pain,decreased appetite,fever,chills,rectal bleeding"
bursitis,"arm pain,arm stiffness or tightness,arm swelling,elbow pain,knee swelling,shoulder pain,shoulder stiffness or tightness"
psoriasis,"skin swelling,abnormal appearing skin,skin lesion,skin growth,skin moles,skin dryness, peeling, scaliness, or roughness,itchy scalp,skin rash"
developmental disability,"delusions or hallucinations,temper problems,obsessions and compulsions"
bursitis,"leg pain,hip pain,knee pain,elbow pain,shoulder pain"
pinguecula,"headache,itching of scrotum"
diverticulitis,"blood in stool,sharp abdominal pain,diarrhea,burning abdominal pain,side pain,fever,upper abdominal pain,chills,constipation"
sciatica,"low back pain,problems with movement,loss of sensation,leg weakness"
chalazion,"skin growth,diminished vision,pain in eye,foreign body sensation in eye,eye redness,eyelid swelling"
malaria,"fainting,headache,knee lump or mass"
tuberculosis,"cough,vaginal itching"
hemorrhoids,"sharp abdominal pain,pain of the anus,heartburn,lower body pain,melena,constipation"
benign prostatic hyperplasia (bph),"swelling of scrotum,pain in testicles,involuntary urination,frequent urination,blood in urine,excessive urination at night,hesitancy,low urine output"
drug abuse (cocaine),"depression,sharp chest pain,delusions or hallucinations,fears and phobias"
mastoiditis,"cough,facial pain,ear pain"
benign prostatic hyperplasia (bph),"swelling of scrotum,blood in urine,symptoms of prostate,hesitancy,low urine output"
envenomation from spider or animal bite,"arm swelling,abnormal appearing skin,foot or toe swelling,paresthesia"
urinary tract obstruction,"sharp abdominal pain,painful urination,back pain"
sebaceous cyst,"abnormal appearing skin,acne or pimples,skin growth,irregular appearing scalp,neck mass,skin moles,back mass or lump,arm lump or mass"
carpal tunnel syndrome,"arm pain,hand or finger stiffness or tightness,elbow pain"
thrombophlebitis,"skin swelling,leg pain,arm pain,lymphedema"
labyrinthitis,"dizziness,vomiting,headache,ear pain,plugged feeling in ear,loss of sensation,sweating"
diverticulosis,"blood in stool,diarrhea,lower abdominal pain,melena"
pelvic organ prolapse,"involuntary urination,frequent urination,blood in urine,intermenstrual bleeding,vaginal pain"
acute bronchitis,"shortness of breath,cough,headache"
multiple sclerosis,"dizziness,abnormal involuntary movements,problems with movement,loss of sensation,paresthesia"
cardiomyopathy,"shortness of breath,sharp chest pain,chest tightness,decreased heart rate"
common cold,"headache,wheezing,fever,chills,flu-like syndrome"
carbon monoxide poisoning,"depressive or psychotic symptoms,headache"
glaucoma,"symptoms of eye,pain in eye,foreign body sensation in eye,lacrimation,itchiness of eye,itchy eyelid"
seborrheic keratosis,"skin swelling,abnormal appearing skin,skin lesion,acne or pimples,irregular appearing scalp,itching of skin,skin irritation"
chronic obstructive pulmonary disease (copd),"sharp chest pain,sore throat,cough,nasal congestion,wheezing,coryza,congestion in chest"
alcohol intoxication,"anxiety and nervousness,abnormal involuntary movements,abusing alcohol,vomiting,problems with movement"
angina,"sharp chest pain,chest tightness,palpitations,irregular heartbeat,arm pain,lower body pain"
psoriasis,"skin swelling,abnormal appearing skin,skin growth,irregular appearing scalp,skin moles,joint pain,itching of skin,skin dryness, peeling, scaliness, or roughness,itchy scalp,skin rash"
chronic sinusitis,"sore throat,ear pain,frontal headache,congestion in chest,sinus congestion,painful sinuses"
fungal infection of the skin,"skin swelling,skin lesion,acne or pimples,irregular appearing scalp,itching of skin,itchy scalp,too little hair"
arthritis of the hip,"back pain,low back pain,pelvic pain,knee pain,problems with movement,joint pain,groin pain,hip stiffness or tightness"
pulmonary embolism,"shortness of breath,cough,leg pain,leg swelling,weakness,hemoptysis,sweating"
fungal infection of the skin,"skin swelling,skin lesion,itching of skin,skin rash"
personality disorder,"depression,drug abuse,delusions or hallucinations,fears and phobias"
liver disease,"blood in stool,sharp abdominal pain,nausea"
benign prostatic hyperplasia (bph),"swelling of scrotum,pain in testicles,frequent urination,symptoms of bladder,hesitancy,low urine output"
missed abortion,"blood in stool,lower abdominal pain,intermenstrual bleeding,pain during pregnancy,blood clots during menstrual periods"
arrhythmia,"dizziness,chest tightness,palpitations"
allergy,"cough,skin swelling,peripheral edema,itchiness of eye,fluid retention,skin rash"
cataract,"diminished vision,symptoms of eye,pain in eye"
injury to the hand,"hand or finger pain,wrist pain,hand or finger swelling,hand or finger stiffness or tightness,skin growth,joint pain"
bladder disorder,"frequent urination,blood in urine"
alcohol withdrawal,"depressive or psychotic symptoms,dizziness,delusions or hallucinations,antisocial behavior"
allergy,"skin swelling,abnormal appearing skin,allergic reaction,skin rash"
eczema,"skin swelling,abnormal appearing skin,acne or pimples,irregular appearing scalp,allergic reaction,skin irritation"
eczema,"cough,skin swelling,irregular appearing scalp,skin dryness, peeling, scaliness, or roughness,skin irritation,skin rash"
alzheimer disease,"depression,depressive or psychotic symptoms,difficulty speaking,hostile behavior,irregular appearing scalp,eye burns or stings"
schizophrenia,"depressive or psychotic symptoms,hostile behavior,fears and phobias,hysterical behavior"
primary immunodeficiency,"cough,decreased appetite,fatigue"
tietze syndrome,"shortness of breath,chest tightness,cough,difficulty breathing"
ileus,"headache,nausea,diarrhea,lower abdominal pain,pain of the anus,burning abdominal pain"
cholecystitis,"sharp chest pain,sharp abdominal pain,vomiting,back pain,side pain,upper abdominal pain,regurgitation.1,symptoms of the kidneys"
bursitis,"arm pain,arm stiffness or tightness,knee pain,leg swelling,shoulder pain,elbow swelling"
laryngitis,"hoarse voice,throat feels tight,difficulty in swallowing,fever,coryza"
pterygium,"acne or pimples,symptoms of eye,foreign body sensation in eye,spots or clouds in vision,lacrimation"
fracture of the arm,"wrist pain,arm pain,wrist swelling,wrist stiffness or tightness,shoulder stiffness or tightness"
allergy,"cough,lip swelling,peripheral edema,itchiness of eye,fluid retention,swollen eye,itching of skin"
tooth disorder,"headache,facial pain,peripheral edema,jaw swelling,gum pain,bleeding gums"
open wound of the jaw,"wrist swelling,lip swelling"
lymphadenitis,"sore throat,cough,skin swelling,sharp abdominal pain,neck pain,neck mass,neck swelling,fever"
drug poisoning due to medication,"depression,drug abuse,lip swelling,slurring words"
psoriasis,"skin swelling,irregular appearing scalp,skin moles,skin dryness, peeling, scaliness, or roughness,skin rash"
